# timeseries-10min - file con shifting in base al fuso orario.
let Lambda[1,24]:= 
156.10551 ;
let Lambda[1,1]:= 
68.16168 ;
let Lambda[1,2]:= 
60.66488 ;
let Lambda[1,3]:= 
60.20931 ;
let Lambda[1,4]:= 
55.89242 ;
let Lambda[1,5]:= 
47.48578 ;
let Lambda[1,6]:= 
50.43985 ;
let Lambda[1,7]:= 
51.80267 ;
let Lambda[1,8]:= 
55.66529 ;
let Lambda[1,9]:= 
66.11745 ;
let Lambda[1,10]:= 
68.61725 ;
let Lambda[1,11]:= 
79.74953 ;
let Lambda[1,12]:= 
80.88651 ;
let Lambda[1,13]:= 
86.56621 ;
let Lambda[1,14]:= 
92.24593 ;
let Lambda[1,15]:= 
101.33527 ;
let Lambda[1,16]:= 
126.55520 ;
let Lambda[1,17]:= 
113.60453 ;
let Lambda[1,18]:= 
101.56241 ;
let Lambda[1,19]:= 
107.01498 ;
let Lambda[1,20]:= 
107.01498 ;
let Lambda[1,21]:= 
115.42162 ;
let Lambda[1,22]:= 
105.42502 ;
let Lambda[1,23]:= 
96.10854 ;
let Lambda[2,4]:= 
208.74908 ;
let Lambda[2,5]:= 
166.37462 ;
let Lambda[2,6]:= 
172.21859 ;
let Lambda[2,7]:= 
143.76896 ;
let Lambda[2,8]:= 
143.84130 ;
let Lambda[2,9]:= 
127.24594 ;
let Lambda[2,10]:= 
139.17655 ;
let Lambda[2,11]:= 
136.06496 ;
let Lambda[2,12]:= 
134.39552 ;
let Lambda[2,13]:= 
178.92672 ;
let Lambda[2,14]:= 
194.79419 ;
let Lambda[2,15]:= 
211.58608 ;
let Lambda[2,16]:= 
199.58043 ;
let Lambda[2,17]:= 
250.34208 ;
let Lambda[2,18]:= 
259.42511 ;
let Lambda[2,19]:= 
247.34742 ;
let Lambda[2,20]:= 
325.69467 ;
let Lambda[2,21]:= 
331.54865 ;
let Lambda[2,22]:= 
264.06934 ;
let Lambda[2,23]:= 
292.44266 ;
let Lambda[2,24]:= 
300.96041 ;
let Lambda[2,1]:= 
79.61950 ;
let Lambda[2,2]:= 
72.72370 ;
let Lambda[2,3]:= 
66.29706 ;
let Lambda[3,24]:= 
88.03365 ;
let Lambda[3,1]:= 
29.86216 ;
let Lambda[3,2]:= 
26.57775 ;
let Lambda[3,3]:= 
26.37817 ;
let Lambda[3,4]:= 
24.48690 ;
let Lambda[3,5]:= 
20.80389 ;
let Lambda[3,6]:= 
22.09809 ;
let Lambda[3,7]:= 
22.69515 ;
let Lambda[3,8]:= 
24.38739 ;
let Lambda[3,9]:= 
28.96657 ;
let Lambda[3,10]:= 
30.06175 ;
let Lambda[3,11]:= 
34.93889 ;
let Lambda[3,12]:= 
35.43701 ;
let Lambda[3,13]:= 
37.92533 ;
let Lambda[3,14]:= 
40.41366 ;
let Lambda[3,15]:= 
44.39577 ;
let Lambda[3,16]:= 
55.44481 ;
let Lambda[3,17]:= 
49.77103 ;
let Lambda[3,18]:= 
44.49528 ;
let Lambda[3,19]:= 
46.88409 ;
let Lambda[3,20]:= 
46.88409 ;
let Lambda[3,21]:= 
50.56711 ;
let Lambda[3,22]:= 
46.18752 ;
let Lambda[3,23]:= 
42.10590 ;
let Lambda[4,5]:= 
213.50824 ;
let Lambda[4,6]:= 
165.06267 ;
let Lambda[4,7]:= 
170.86056 ;
let Lambda[4,8]:= 
166.40781 ;
let Lambda[4,9]:= 
151.53429 ;
let Lambda[4,10]:= 
123.74268 ;
let Lambda[4,11]:= 
135.42370 ;
let Lambda[4,12]:= 
140.44624 ;
let Lambda[4,13]:= 
161.17508 ;
let Lambda[4,14]:= 
163.59299 ;
let Lambda[4,15]:= 
196.87044 ;
let Lambda[4,16]:= 
222.51266 ;
let Lambda[4,17]:= 
200.13574 ;
let Lambda[4,18]:= 
248.36801 ;
let Lambda[4,19]:= 
254.95129 ;
let Lambda[4,20]:= 
253.39903 ;
let Lambda[4,21]:= 
309.80160 ;
let Lambda[4,22]:= 
275.10862 ;
let Lambda[4,23]:= 
259.31368 ;
let Lambda[4,24]:= 
278.86916 ;
let Lambda[4,1]:= 
53.52034 ;
let Lambda[4,2]:= 
57.72467 ;
let Lambda[4,3]:= 
52.72517 ;
let Lambda[4,4]:= 
48.06581 ;
let Lambda[5,6]:= 
17.21641 ;
let Lambda[5,7]:= 
13.11526 ;
let Lambda[5,8]:= 
11.91345 ;
let Lambda[5,9]:= 
12.06285 ;
let Lambda[5,10]:= 
11.97406 ;
let Lambda[5,11]:= 
9.32532 ;
let Lambda[5,12]:= 
11.00605 ;
let Lambda[5,13]:= 
10.07032 ;
let Lambda[5,14]:= 
11.92540 ;
let Lambda[5,15]:= 
13.50885 ;
let Lambda[5,16]:= 
14.70016 ;
let Lambda[5,17]:= 
17.08508 ;
let Lambda[5,18]:= 
17.00775 ;
let Lambda[5,19]:= 
18.37372 ;
let Lambda[5,20]:= 
18.66432 ;
let Lambda[5,21]:= 
20.70441 ;
let Lambda[5,22]:= 
23.84891 ;
let Lambda[5,23]:= 
24.56332 ;
let Lambda[5,24]:= 
18.53471 ;
let Lambda[5,1]:= 
2.75964 ;
let Lambda[5,2]:= 
2.75964 ;
let Lambda[5,3]:= 
2.97642 ;
let Lambda[5,4]:= 
2.71864 ;
let Lambda[5,5]:= 
2.47839 ;
let Lambda[6,17]:= 
179.81579 ;
let Lambda[6,18]:= 
139.69937 ;
let Lambda[6,19]:= 
134.48420 ;
let Lambda[6,20]:= 
135.99267 ;
let Lambda[6,21]:= 
112.21535 ;
let Lambda[6,22]:= 
101.29589 ;
let Lambda[6,23]:= 
99.15844 ;
let Lambda[6,24]:= 
107.25448 ;
let Lambda[6,1]:= 
82.65533 ;
let Lambda[6,2]:= 
98.17536 ;
let Lambda[6,3]:= 
101.88722 ;
let Lambda[6,4]:= 
118.41713 ;
let Lambda[6,5]:= 
120.10538 ;
let Lambda[6,6]:= 
128.53898 ;
let Lambda[6,7]:= 
136.97257 ;
let Lambda[6,8]:= 
150.46900 ;
let Lambda[6,9]:= 
187.91714 ;
let Lambda[6,10]:= 
168.68717 ;
let Lambda[6,11]:= 
150.80627 ;
let Lambda[6,12]:= 
158.90259 ;
let Lambda[6,13]:= 
158.90259 ;
let Lambda[6,14]:= 
171.38530 ;
let Lambda[6,15]:= 
156.54173 ;
let Lambda[6,16]:= 
142.70802 ;
let Lambda[7,6]:= 
53.14136 ;
let Lambda[7,7]:= 
47.00624 ;
let Lambda[7,8]:= 
41.41786 ;
let Lambda[7,9]:= 
39.44595 ;
let Lambda[7,10]:= 
37.77410 ;
let Lambda[7,11]:= 
35.69482 ;
let Lambda[7,12]:= 
35.82830 ;
let Lambda[7,13]:= 
34.29561 ;
let Lambda[7,14]:= 
41.07555 ;
let Lambda[7,15]:= 
50.15612 ;
let Lambda[7,16]:= 
45.42759 ;
let Lambda[7,17]:= 
52.79764 ;
let Lambda[7,18]:= 
51.31910 ;
let Lambda[7,19]:= 
64.47441 ;
let Lambda[7,20]:= 
61.07080 ;
let Lambda[7,21]:= 
74.07671 ;
let Lambda[7,22]:= 
95.13091 ;
let Lambda[7,23]:= 
82.26216 ;
let Lambda[7,24]:= 
70.74073 ;
let Lambda[7,1]:= 
9.59407 ;
let Lambda[7,2]:= 
9.59407 ;
let Lambda[7,3]:= 
10.34774 ;
let Lambda[7,4]:= 
9.45153 ;
let Lambda[7,5]:= 
8.61629 ;
let Lambda[8,1]:= 
230.24195 ;
let Lambda[8,2]:= 
177.68358 ;
let Lambda[8,3]:= 
165.16943 ;
let Lambda[8,4]:= 
165.67301 ;
let Lambda[8,5]:= 
152.17569 ;
let Lambda[8,6]:= 
123.78573 ;
let Lambda[8,7]:= 
134.40831 ;
let Lambda[8,8]:= 
145.54202 ;
let Lambda[8,9]:= 
158.00652 ;
let Lambda[8,10]:= 
199.16541 ;
let Lambda[8,11]:= 
194.77080 ;
let Lambda[8,12]:= 
235.60950 ;
let Lambda[8,13]:= 
213.19742 ;
let Lambda[8,14]:= 
233.18245 ;
let Lambda[8,15]:= 
267.18476 ;
let Lambda[8,16]:= 
319.92752 ;
let Lambda[8,17]:= 
329.90354 ;
let Lambda[8,18]:= 
361.95352 ;
let Lambda[8,19]:= 
302.99446 ;
let Lambda[8,20]:= 
316.16167 ;
let Lambda[8,21]:= 
316.16167 ;
let Lambda[8,22]:= 
310.90993 ;
let Lambda[8,23]:= 
335.89294 ;
let Lambda[8,24]:= 
303.42612 ;
let Lambda[9,5]:= 
100.61536 ;
let Lambda[9,6]:= 
83.69540 ;
let Lambda[9,7]:= 
68.40927 ;
let Lambda[9,8]:= 
73.93071 ;
let Lambda[9,9]:= 
65.82881 ;
let Lambda[9,10]:= 
61.87741 ;
let Lambda[9,11]:= 
68.88671 ;
let Lambda[9,12]:= 
67.50263 ;
let Lambda[9,13]:= 
67.65367 ;
let Lambda[9,14]:= 
82.01371 ;
let Lambda[9,15]:= 
89.41324 ;
let Lambda[9,16]:= 
90.92948 ;
let Lambda[9,17]:= 
96.27973 ;
let Lambda[9,18]:= 
103.04032 ;
let Lambda[9,19]:= 
108.64512 ;
let Lambda[9,20]:= 
124.42908 ;
let Lambda[9,21]:= 
172.83897 ;
let Lambda[9,22]:= 
148.03492 ;
let Lambda[9,23]:= 
114.52773 ;
let Lambda[9,24]:= 
124.69892 ;
let Lambda[9,1]:= 
32.18036 ;
let Lambda[9,2]:= 
34.70832 ;
let Lambda[9,3]:= 
31.70225 ;
let Lambda[9,4]:= 
28.90070 ;
let Lambda[10,6]:= 
76.31866 ;
let Lambda[10,7]:= 
61.77887 ;
let Lambda[10,8]:= 
52.36579 ;
let Lambda[10,9]:= 
52.49227 ;
let Lambda[10,10]:= 
47.28129 ;
let Lambda[10,11]:= 
40.16983 ;
let Lambda[10,12]:= 
43.10417 ;
let Lambda[10,13]:= 
45.61027 ;
let Lambda[10,14]:= 
49.97216 ;
let Lambda[10,15]:= 
58.78461 ;
let Lambda[10,16]:= 
54.49183 ;
let Lambda[10,17]:= 
66.77444 ;
let Lambda[10,18]:= 
69.12284 ;
let Lambda[10,19]:= 
69.49310 ;
let Lambda[10,20]:= 
75.64516 ;
let Lambda[10,21]:= 
