# timeseries-10min - file con shifting in base al fuso orario.
let Lambda[1,17]:= 
77.67123 ;
let Lambda[1,18]:= 
72.67058 ;
let Lambda[1,19]:= 
58.68917 ;
let Lambda[1,20]:= 
64.78653 ;
let Lambda[1,21]:= 
54.62390 ;
let Lambda[1,22]:= 
51.56451 ;
let Lambda[1,23]:= 
49.79301 ;
let Lambda[1,24]:= 
46.02452 ;
let Lambda[1,1]:= 
39.56503 ;
let Lambda[1,2]:= 
46.99408 ;
let Lambda[1,3]:= 
48.77085 ;
let Lambda[1,4]:= 
56.68331 ;
let Lambda[1,5]:= 
57.49143 ;
let Lambda[1,6]:= 
61.52838 ;
let Lambda[1,7]:= 
65.56533 ;
let Lambda[1,8]:= 
72.02574 ;
let Lambda[1,9]:= 
89.95122 ;
let Lambda[1,10]:= 
80.74632 ;
let Lambda[1,11]:= 
72.18717 ;
let Lambda[1,12]:= 
76.06268 ;
let Lambda[1,13]:= 
76.06268 ;
let Lambda[1,14]:= 
82.03785 ;
let Lambda[1,15]:= 
74.93260 ;
let Lambda[1,16]:= 
68.31075 ;
let Lambda[2,5]:= 
15.13161 ;
let Lambda[2,6]:= 
11.52709 ;
let Lambda[2,7]:= 
11.42269 ;
let Lambda[2,8]:= 
10.28720 ;
let Lambda[2,9]:= 
10.62152 ;
let Lambda[2,10]:= 
8.19608 ;
let Lambda[2,11]:= 
8.88183 ;
let Lambda[2,12]:= 
8.21866 ;
let Lambda[2,13]:= 
9.89901 ;
let Lambda[2,14]:= 
10.60502 ;
let Lambda[2,15]:= 
12.32191 ;
let Lambda[2,16]:= 
12.93059 ;
let Lambda[2,17]:= 
14.66618 ;
let Lambda[2,18]:= 
14.18678 ;
let Lambda[2,19]:= 
16.88667 ;
let Lambda[2,20]:= 
16.07717 ;
let Lambda[2,21]:= 
22.50545 ;
let Lambda[2,22]:= 
18.22179 ;
let Lambda[2,23]:= 
16.11320 ;
let Lambda[2,24]:= 
19.03059 ;
let Lambda[2,1]:= 
4.29121 ;
let Lambda[2,2]:= 
4.62831 ;
let Lambda[2,3]:= 
4.22745 ;
let Lambda[2,4]:= 
3.85387 ;
let Lambda[3,24]:= 
51.46824 ;
let Lambda[3,1]:= 
22.97654 ;
let Lambda[3,2]:= 
20.44945 ;
let Lambda[3,3]:= 
20.29588 ;
let Lambda[3,4]:= 
18.84071 ;
let Lambda[3,5]:= 
16.00692 ;
let Lambda[3,6]:= 
17.00271 ;
let Lambda[3,7]:= 
17.46210 ;
let Lambda[3,8]:= 
18.76414 ;
let Lambda[3,9]:= 
22.28745 ;
let Lambda[3,10]:= 
23.13010 ;
let Lambda[3,11]:= 
26.88267 ;
let Lambda[3,12]:= 
27.26593 ;
let Lambda[3,13]:= 
29.18050 ;
let Lambda[3,14]:= 
31.09507 ;
let Lambda[3,15]:= 
34.15898 ;
let Lambda[3,16]:= 
42.66034 ;
let Lambda[3,17]:= 
38.29481 ;
let Lambda[3,18]:= 
34.23555 ;
let Lambda[3,19]:= 
36.07355 ;
let Lambda[3,20]:= 
36.07355 ;
let Lambda[3,21]:= 
38.90733 ;
let Lambda[3,22]:= 
