# timeseries-10min - file con shifting in base al fuso orario.
let Lambda[1,17]:= 
51.51852 ;
let Lambda[1,18]:= 
39.32045 ;
let Lambda[1,19]:= 
38.88418 ;
let Lambda[1,20]:= 
35.08380 ;
let Lambda[1,21]:= 
29.31152 ;
let Lambda[1,22]:= 
27.94653 ;
let Lambda[1,23]:= 
30.27289 ;
let Lambda[1,24]:= 
28.07231 ;
let Lambda[1,1]:= 
28.86804 ;
let Lambda[1,2]:= 
34.28854 ;
let Lambda[1,3]:= 
35.58494 ;
let Lambda[1,4]:= 
41.35815 ;
let Lambda[1,5]:= 
41.94779 ;
let Lambda[1,6]:= 
44.89329 ;
let Lambda[1,7]:= 
47.83879 ;
let Lambda[1,8]:= 
52.55253 ;
let Lambda[1,9]:= 
65.63159 ;
let Lambda[1,10]:= 
58.91537 ;
let Lambda[1,11]:= 
52.67032 ;
let Lambda[1,12]:= 
55.49803 ;
let Lambda[1,13]:= 
55.49803 ;
let Lambda[1,14]:= 
59.85772 ;
let Lambda[1,15]:= 
54.67348 ;
let Lambda[1,16]:= 
49.84194 ;
